Five Hammer,fffff,fffff[h](very poorness movie),828,0,2,5.0,-21.4131268162672,1
Five Hammer,fffff,【bms 03】fffff - [hyper 10],259,0,0,0.0,-23.6924552773023,1
Five Hammer,fffff,fffff - pop'n music 13 gameplay,376,0,1,5.0,-23.2237635523008,1
Five Hammer,fffff,saturn / mr.saturn,448,2,0,0.0,-22.9353397573632,1
Five Hammer,fffff,hardpf fffff piano performance,18150,57,54,4.851852,47.93334086825,1
Five Hammer,fffff,ピアノテック ex / stories / ax,3623,7,2,5.0,-10.2180773436407,1
HHH×MM×ST,Follow Tomorrow,hhh×mm×st -follow tomorrow,2238,7,10,5.0,-15.7652646954652,1
HHH×MM×ST,Follow Tomorrow,beatmania iidx19 lincle follow tomorrow(another),36175,80,42,4.8095236,120.006066384562,0
HHH×MM×ST,Follow Tomorrow,[6.6.6][lisse] follow tomorrow hhh×mm×st,406,0,3,3.6666667,-23.1035867968188,1
HHH×MM×ST,Follow Tomorrow,[djmax technika custom pattern] follow tomorrow - hhh×mm×st,128,0,1,1.0,-24.2172342659072,1
seiya-murai,GIGANT,beatmania iidx19 lincle gigant(another),2998,1,2,5.0,-12.7212550409532,1
seiya-murai,GIGANT,gigant - seiya-murai,662,2,0,0.0,-22.0780886091452,1
seiya-murai,GIGANT,seiya-murai - 33. gigant 〔marching rock〕,17,0,0,0.0,-24.6618980399687,1
Ryu☆,I'm so Happy,beatmania iidx19 lincle i'm so happy(another),8788,16,12,4.6666665,10.4640472370448,1
Ryu☆,I'm so Happy,{simfile itg} i'm so happy - ryu☆ [from iidx 19th lincle],197,0,2,5.0,-23.9408233672847,1
Ryu☆,I'm so Happy,【iidx】 i'm so happy sp[a],10221,5,8,5.0,16.2008779592897,0
Ryu☆,I'm so Happy,[bms] i'm so happy (by kkore.),5171,5,3,5.0,-4.0186720370303,1
Ryu☆,I'm so Happy,i'm so happy / ryu☆ feat. lucky vacuum,14445,14,23,4.652174,33.1078125951425,0
Ryu☆,I'm so Happy,i'm so happy(a),281,1,1,5.0,-23.6043249203063,1
Ryu☆,I'm so Happy,ryu☆ - i'm so happy (extended rrver.),1007,5,4,4.0,-20.6960982429767,1
Ryu☆,I'm so Happy,[beatmaniaiidx 19th lincle]ryu☆ - i'm so happy (spa),183,0,0,0.0,-23.9969066315287,1
Ryu☆,I'm so Happy,【iidx】 i'm so happy dp[a],492,1,1,5.0,-22.7590814774512,1
Ryu☆,I'm so Happy,[dj max technika custom pattern] i'm so happy - ryu☆,357,0,9,5.0,-23.2998756261967,1
Ryu☆,I'm so Happy,karateka mania - i'm so happy ~ ryu,159,1,2,5.0,-24.0930494963623,1
Ryu☆,I'm so Happy,i'm so happy / ryu*,19227,26,17,4.7647057,52.2422355977393,0
Ryu☆,I'm so Happy,i'm so happy s17,19,0,0,0.0,-24.6538860499263,1
Ryu☆,I'm so Happy,【beatmaniaiidx19 lincle】 i'm so happy(h),4216,5,4,5.0,-7.8431622349248,1
Ryu☆,I'm so Happy,[mad]i'm so タンクローリー [i'm so happy x za warudo],179,1,0,0.0,-24.0129304312703,1
Ryu☆,I'm so Happy,【12月7日発売】rainbow☆rainbow / ryu☆,10307,34,53,5.0,16.5451498033633,1
Ryu☆,I'm so Happy,[bemuri rg mixset 002] core party 01 (music game hardcore mix),317,2,3,5.0,-23.4601118976287,1
Ryu☆,I'm so Happy,【太鼓さん次郎】 i'm so happy,764,1,2,5.0,-21.6694967251568,1
Ryu☆,I'm so Happy,"i'm so happy, dancedancerevolution ii, i♥ddr",136,0,0,0.0,-24.1851865579968,1
